title,rank,date,artist,trend
ドライフラワー,48,1/2/2021,優里,MOVE_DOWN
Home,49,1/2/2021,Edith Whiskers,MOVE_DOWN
Dancing in My Room,50,1/2/2021,347aidan,MOVE_DOWN
Blue Jeans,1,1/3/2021,GANGGA,SAME_POSITION
Dicked Down in Dallas,2,1/3/2021,Trey Lewis,SAME_POSITION
Mayonaka no Door / Stay With Me,3,1/3/2021,Miki Matsubara,SAME_POSITION
Bir Sebebi Var,4,1/3/2021,İkilem,SAME_POSITION
Mmmh,5,1/3/2021,KAI,SAME_POSITION
Violent,6,1/3/2021,carolesdaughter,SAME_POSITION
Resah Jadi Luka,7,1/3/2021,Daun Jatuh,SAME_POSITION
Boku no Sensou - TV Size,8,1/3/2021,Shinsei Kamattechan,SAME_POSITION
Nega Chegando,9,1/3/2021,"O Boy da Seresta, Menor Nico",SAME_POSITION
space girl,10,1/3/2021,Frances Forever,SAME_POSITION
Given-Taken,11,1/3/2021,ENHYPEN,SAME_POSITION
Sensitive,12,1/3/2021,Serena Isioma,SAME_POSITION
Hecha Pa' Mi,13,1/3/2021,Boza,MOVE_UP
Peng Black Girls Remix,14,1/3/2021,"ENNY, Jorja Smith",MOVE_DOWN
Astronaut In The Ocean,16,1/3/2021,Masked Wolf,MOVE_UP
Meia Noite,17,1/3/2021,Tarcísio do Acordeon,SAME_POSITION
Hayloft,18,1/3/2021,Mother Mother,SAME_POSITION
Quicksand,19,1/3/2021,Morray,MOVE_DOWN
Doomsday,20,1/3/2021,"MF DOOM, Pebbles The Invisible Girl",MOVE_UP
L-Gante Rkt,21,1/3/2021,"Papu DJ, L-Gante",SAME_POSITION
WITHOUT YOU,22,1/3/2021,The Kid LAROI,MOVE_DOWN
Touch You,23,1/3/2021,"遠野高志, 加島優, 矢口恭介, ジミー, 百合絢斗, 田村唯, 明美圭一, 糸目幸士郎, 鹿谷樹",MOVE_DOWN
All Caps,24,1/3/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Bertaut,25,1/3/2021,Nadin Amizah,SAME_POSITION
Amor ou o Litrão,26,1/3/2021,"Petter Ferraz, Menor Nico",MOVE_DOWN
Accordion,27,1/3/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Rapp Snitch Knishes,28,1/3/2021,"MF DOOM, Mr Fantastik",MOVE_UP
Whoopty,29,1/3/2021,CJ,MOVE_DOWN
Si Me Tomo Una Cerveza,30,1/3/2021,"Migrantes, Alico",MOVE_DOWN
Nuages ​​Creux,31,1/3/2021,Lydia Baskow Trio,MOVE_UP
ALÔ AMBEV - funk remix,32,1/3/2021,DJ Lucas Beat,MOVE_DOWN
廻廻奇譚,33,1/3/2021,Eve,MOVE_DOWN
At My Worst,34,1/3/2021,Pink Sweat$,MOVE_DOWN
Seni Dert Etmeler,35,1/3/2021,Madrigal,MOVE_DOWN
Makina,36,1/3/2021,UZI,MOVE_DOWN
Rät,37,1/3/2021,Penelope Scott,SAME_POSITION
"25 É Natal, 31 É Ano Novo (feat. MC GW)",38,1/3/2021,"Barca Na Batida, Luanzinho do Recife",MOVE_DOWN
E-GIRLS ARE RUINING MY LIFE!,39,1/3/2021,"CORPSE, Savage Ga$p",MOVE_UP
Mungkin Hari Ini Esok Atau Nanti,40,1/3/2021,Anneth,MOVE_UP
Kusura Bakma,41,1/3/2021,Tuğkan,MOVE_DOWN
ıslak kum,42,1/3/2021,Contra,SAME_POSITION
Jenny (I Wanna Ruin Our Friendship),43,1/3/2021,Studio Killers,SAME_POSITION
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",44,1/3/2021,"Bizarrap, Nathy Peluso",SAME_POSITION
Dance With You,45,1/3/2021,"Skusta Clee, Yuridope",MOVE_UP
LOST IN PARADISE,46,1/3/2021,"ALI, AKLO",MOVE_UP
Home,47,1/3/2021,Edith Whiskers,MOVE_UP
Dancing in My Room,48,1/3/2021,347aidan,MOVE_UP
ドライフラワー,49,1/3/2021,優里,MOVE_DOWN
Rhymes Like Dimes,50,1/3/2021,"MF DOOM, DJ Cucumber Slice",NEW_ENTRY
Blue Jeans,1,1/4/2021,GANGGA,SAME_POSITION
Your New Boyfriend,2,1/4/2021,Wilbur Soot,NEW_ENTRY
Mmmh,3,1/4/2021,KAI,MOVE_UP
Bir Sebebi Var,4,1/4/2021,İkilem,SAME_POSITION
Dicked Down in Dallas,5,1/4/2021,Trey Lewis,MOVE_DOWN
Mayonaka no Door / Stay With Me,6,1/4/2021,Miki Matsubara,MOVE_DOWN
Violent,7,1/4/2021,carolesdaughter,MOVE_DOWN
Resah Jadi Luka,8,1/4/2021,Daun Jatuh,MOVE_DOWN
Boku no Sensou - TV Size,9,1/4/2021,Shinsei Kamattechan,MOVE_DOWN
Vete Pal Carajo,10,1/4/2021,"Yan Block, Jay Wheeler, DJ Nelson",NEW_ENTRY
Doomsday,11,1/4/2021,"MF DOOM, Pebbles The Invisible Girl",MOVE_UP
Hecha Pa' Mi,12,1/4/2021,Boza,MOVE_UP
Sensitive,13,1/4/2021,Serena Isioma,MOVE_DOWN
All Caps,14,1/4/2021,"Madvillain, Madlib, MF DOOM",MOVE_UP
Astronaut In The Ocean,15,1/4/2021,Masked Wolf,MOVE_UP
Hayloft,16,1/4/2021,Mother Mother,MOVE_UP
Nega Chegando,17,1/4/2021,"O Boy da Seresta, Menor Nico",MOVE_DOWN
Given-Taken,18,1/4/2021,ENHYPEN,MOVE_DOWN
Meia Noite,19,1/4/2021,Tarcísio do Acordeon,MOVE_DOWN
